
2024/07/17 (10:22:34) | ===> btop++ v.1.3.2
2024/07/17 (10:22:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (14:21:19) | ===> btop++ v.1.3.2
2024/07/30 (14:21:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/12 (11:34:30) | ===> btop++ v.1.3.2
2024/08/12 (11:34:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (13:36:34) | ===> btop++ v.1.3.2
2024/08/15 (13:36:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (13:58:17) | ===> btop++ v.1.3.2
2024/08/15 (13:58:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/23 (09:00:48) | ===> btop++ v.1.3.2
2024/08/23 (09:00:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/23 (09:02:54) | ===> btop++ v.1.3.2
2024/08/23 (09:02:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/27 (09:40:35) | ===> btop++ v.1.3.2
2024/08/27 (09:40:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/02 (11:21:06) | ===> btop++ v.1.3.2
2024/09/02 (11:21:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/02 (18:59:10) | ===> btop++ v.1.3.2
2024/09/02 (18:59:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (15:39:05) | ===> btop++ v.1.3.2
2024/09/05 (15:39:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
